Athlete,Event,Mark,Date
Dan Stipanov,4 x 100 Relay,43.80,"Apr 28-30, 2022"
Dan Stipanov,4 x 100 Relay,43.80,"Apr 23, 2022"
Dan Stipanov,4 x 100 Relay,43.23,"Apr 24, 2021"
Dan Stipanov,4 x 100 Relay,DQ,"Apr 17, 2021"
Dan Stipanov,4 x 100 Relay,43.65,"Apr 11, 2021"
Dan Stipanov,4 x 400 Relay,DNS,"Dec  2- 3, 2022"
Patrez Thomas,200 Meters,23.12,"Feb  3- 4, 2023"
Patrez Thomas,200 Meters,22.95,"Jan 21, 2023"
Patrez Thomas,200 Meters,23.15,"Dec  2- 3, 2022"
Patrez Thomas,200 Meters,23.32,"Feb 18, 2022"
Patrez Thomas,200 Meters,22.95,"Feb 11-12, 2022"
Patrez Thomas,200 Meters,23.72,"Jan 15, 2022"
Patrez Thomas,400 Meters,50.35,"Feb 25-26, 2023"
Patrez Thomas,400 Meters,50.40,"Feb 11, 2023"
Patrez Thomas,400 Meters,51.07,"Feb  3- 4, 2023"
Patrez Thomas,400 Meters,50.64,"Jan 21, 2023"
Patrez Thomas,400 Meters,52.26,"Jan 14, 2023"
Patrez Thomas,400 Meters,51.76,"Dec  2- 3, 2022"
Patrez Thomas,400 Meters,51.32,"Feb 26-27, 2022"
Patrez Thomas,400 Meters,51.83,"Feb 11-12, 2022"
Patrez Thomas,400 Meters,52.48,"Feb  4- 5, 2022"
Patrez Thomas,400 Meters,53.39,"Jan 15, 2022"
Patrez Thomas,400 Meters,53.68,"Dec  3- 4, 2021"
Patrez Thomas,500 Meters,1:08.04,"Jan 28, 2023"
Patrez Thomas,500 Meters,1:09.74,"Jan 29, 2022"
Patrez Thomas,500 Meters,1:09.31,"Jan 22, 2022"
Patrez Thomas,400 Hurdles,53.45,"Apr 14-16, 2023"
Patrez Thomas,400 Hurdles,55.25,"Apr  1, 2023"
Patrez Thomas,400 Hurdles,54.41,"Mar 24-25, 2023"
Patrez Thomas,400 Hurdles,57.73,"May  6- 7, 2022"
Patrez Thomas,400 Hurdles,56.13,"May  6- 7, 2022"
Patrez Thomas,400 Hurdles,55.13,"Apr 22-23, 2022"
Patrez Thomas,400 Hurdles,55.25,"Apr  2, 2022"
Patrez Thomas,400 Hurdles,56.58,"Mar 26, 2022"
Patrez Thomas,400 Hurdles,56.78,"Mar 19, 2022"
Patrez Thomas,4 x 400 Relay,3:20.10,"Feb 25-26, 2023"
Patrez Thomas,4 x 400 Relay,3:18.62,"Feb 11, 2023"
Patrez Thomas,4 x 400 Relay,3:23.97,"Jan 28, 2023"
Patrez Thomas,4 x 400 Relay,3:24.01,"Jan 21, 2023"
Patrez Thomas,4 x 400 Relay,3:38.11,"Jan 14, 2023"
Patrez Thomas,4 x 400 Relay,3:27.98,"Dec  2- 3, 2022"
Patrez Thomas,4 x 400 Relay,3:25.16,"Feb 26-27, 2022"
Patrez Thomas,4 x 400 Relay,3:25.32,"Feb 18, 2022"
Patrez Thomas,4 x 400 Relay,3:31.84,"Jan 29, 2022"
Patrez Thomas,4 x 400 Relay,3:29.39,"Jan 22, 2022"
Patrez Thomas,4 x 400 Relay,3:38.24,"Jan 15, 2022"
Patrez Thomas,4 x 400 Relay,3:31.78,"Dec  3- 4, 2021"
Tyson Utesch,Pole Vault,4.15m,"Feb 17, 2023"
Tyson Utesch,Pole Vault,4.00m,"Feb 11, 2023"
Tyson Utesch,Pole Vault,4.10m,"Feb  3- 4, 2023"
Tyson Utesch,Pole Vault,3.96m,"Jan 21, 2023"
Tyson Utesch,Pole Vault,3.96m,"Jan 14, 2023"
Tyson Utesch,Pole Vault,3.95m,"Dec  2- 3, 2022"
Riley Williamson,800 Meters,2:06.71,"Mar 24-25, 2023"
Riley Williamson,1500 Meters,4:13.16,"Mar 24-25, 2023"
Riley Williamson,1500 Meters,4:07.37,"Apr 23, 2022"
Riley Williamson,1500 Meters,4:16.59,"Apr 17, 2021"
Riley Williamson,1500 Meters,4:14.52,"Mar 27, 2021"
Riley Williamson,Mile,4:34.94,"Feb 17, 2023"
Riley Williamson,Mile,4:29.70,"Feb 11, 2023"
Riley Williamson,Mile,4:37.19,"Jan 21, 2023"
Riley Williamson,Mile,4:39.98,"Feb 18, 2022"
Riley Williamson,Mile,4:41.04,"Feb 21, 2021"
Riley Williamson,Mile,4:41.96,"Feb 21, 2020"
Riley Williamson,3000 Meters,8:53.83,"Feb  3- 4, 2023"
Riley Williamson,3000 Meters,8:55.19,"Jan 28, 2023"
Riley Williamson,3000 Meters,9:09.55,"Jan 14, 2023"
Riley Williamson,3000 Meters,9:03.98,"Feb 11-12, 2022"
Riley Williamson,3000 Meters,9:07.80,"Jan 22, 2022"
Riley Williamson,3000 Meters,9:29.56,"Jan 15, 2022"
Riley Williamson,3000 Meters,9:18.78,"Feb 27, 2021"
Riley Williamson,3000 Meters,9:15.39,"Feb 14-15, 2020"
Riley Williamson,5000 Meters,15:28.05,"Apr  7- 8, 2023"
Riley Williamson,5000 Meters,15:39.01,"Apr  9, 2022"
Riley Williamson,5000 Meters,15:58.17,"Mar 26, 2022"
Riley Williamson,3000 Steeplechase,9:35.87,"Apr 14-16, 2023"
Riley Williamson,3000 Steeplechase,9:44.80,"Apr  1, 2023"
Riley Williamson,3000 Steeplechase,9:55.16,"Apr 29-30, 2022"
Riley Williamson,3000 Steeplechase,9:51.22,"Apr 14-16, 2022"
Riley Williamson,3000 Steeplechase,9:50.51,"Apr  2, 2022"
Riley Williamson,3000 Steeplechase,10:01.48,"Apr 24, 2021"
Riley Williamson,3000 Steeplechase,10:07.12,"Apr 11, 2021"
Riley Williamson,3000 Steeplechase,9:55.75,"Apr  3, 2021"
Riley Williamson,3000 Steeplechase,10:04.52,"Mar 21, 2021"
Riley Williamson,4 x 800 Relay,8:08.79,"Dec  2- 3, 2022"
Riley Williamson,4 x 800 Relay,8:14.96,"Dec  3- 4, 2021"
Riley Williamson,Distance Medley Relay,10:52.52,"Jan 21, 2023"
Riley Williamson,5k,15:59.0,"Feb 13, 2021"
Riley Williamson,6k,19:14.6,"Sep  2, 2022"
Riley Williamson,6k,19:47.4,"Sep  3, 2021"
Riley Williamson,6k,19:41.3,"Aug 30, 2019"
Riley Williamson,6.4k,22:39.6,"Sep  7, 2019"
Riley Williamson,8k,26:16.1,"Sep 30, 2022"
Riley Williamson,8k,27:36.9,"Oct 16, 2021"
Riley Williamson,8k,26:44.9,"Oct  1, 2021"
Riley Williamson,8k,28:14.4,"Sep 18, 2021"
Riley Williamson,8k,28:38.6,"Oct 19, 2019"
Riley Williamson,8k,27:09.8,"Oct  5, 2019"
Riley Williamson,8k,27:09.6,"Sep 14, 2019"
Riley Williamson,8.05k,27:29.7,"Oct 29, 2022"
Riley Williamson,4.97 Mile,26:31.1,"Sep 16, 2022"
Riley Williamson,5.2 Mile,28:40.7,"Oct 14, 2022"
Ryan Wycherley,400 Meters,55.52,"Mar 21, 2021"
Ryan Wycherley,500 Meters,1:09.65,"Feb 11-12, 2022"
Ryan Wycherley,500 Meters,1:12.84,"Jan 25, 2020"
Ryan Wycherley,600 Meters,1:26.13,"Feb  3- 4, 2023"
Ryan Wycherley,800 Meters,1:59.95,"Feb 17, 2023"
Ryan Wycherley,800 Meters,1:59.71,"Jan 21, 2023"
Ryan Wycherley,800 Meters,2:01.91,"Jan 14, 2023"
Ryan Wycherley,800 Meters,2:01.26,"Dec  2- 3, 2022"
Ryan Wycherley,800 Meters,2:01.66,"Feb 18, 2022"
Ryan Wycherley,800 Meters,2:06.03,"Jan 22, 2022"
Ryan Wycherley,800 Meters,2:04.71,"Jan 15, 2022"
Ryan Wycherley,800 Meters,2:04.75,"Dec  3- 4, 2021"
Ryan Wycherley,800 Meters,2:09.46,"Feb 27, 2021"
Ryan Wycherley,800 Meters,2:00.63,"Feb 21, 2020"
Ryan Wycherley,800 Meters,2:00.89,"Feb  1, 2020"
Ryan Wycherley,800 Meters,2:04.01,"Jan 18, 2020"
Ryan Wycherley,800 Meters,2:03.26,"Jan 11, 2020"
Ryan Wycherley,800 Meters,2:02.11,"Dec  6- 7, 2019"
Ryan Wycherley,1000 Meters,2:37.13,"Feb 11, 2023"
Ryan Wycherley,1000 Meters,2:43.19,"Feb  7, 2020"
Ryan Wycherley,4 x 400 Relay,3:25.00,"Jan 14, 2023"
Ryan Wycherley,4 x 400 Relay,3:38.24,"Jan 15, 2022"
Ryan Wycherley,4 x 400 Relay,3:31.78,"Dec  3- 4, 2021"
Ryan Wycherley,4 x 400 Relay,3:38.22,"Jan 11, 2020"
Ryan Wycherley,4 x 800 Relay,8:04.23,"Jan 28, 2023"
Ryan Wycherley,4 x 800 Relay,8:08.79,"Dec  2- 3, 2022"
Ryan Wycherley,Distance Medley Relay,10:52.52,"Jan 21, 2023"
